score,vote,title,author,genre,star,n_rating,n_review,pages,year
31802,348,The Other Boleyn Girl,Philippa Gregory,"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Adult', 'European Literature', 'British Literature', 'Romance', 'Historical Romance', 'English History', 'Tudor Period', 'Womens Fiction', 'Chick Lit', 'Adult Fiction']",4.06,463650,16906,661,2003
31740,343,The Art of Racing in the Rain,Garth Stein,"['Fiction', 'Animals', 'Contemporary', 'Animals', 'Dogs', 'Audiobook', 'Adult Fiction', 'Adult', 'Book Club', 'Novels', 'Family']",4.21,461170,39418,321,2008
31397,331,Everything Is Illuminated,Jonathan Safran Foer,"['Fiction', 'Historical', 'Historical Fiction', 'Contemporary', 'Novels', 'Literature', 'Literary Fiction', 'World War II', 'Holocaust', 'Literature', 'Jewish', 'Historical', 'Magical Realism']",3.89,168190,7980,276,2003
30610,326,A Short History of Nearly Everything,Bill Bryson,"['Nonfiction', 'Science', 'History', 'Audiobook', 'Humor', 'Science', 'Popular Science', 'Science', 'Physics', 'Historical', 'Philosophy', 'Unfinished']",4.19,314050,12810,544,2004
30540,326,The Namesake,Jhumpa Lahiri,"['Fiction', 'Cultural', 'India', 'Contemporary', 'Literary Fiction', 'Novels', 'Asian Literature', 'Indian Literature', 'Literature', 'Book Club', 'Adult Fiction', 'Cultural', 'Asia']",3.99,239046,12233,291,2004
30457,323,Oryx and Crake,Margaret Atwood,"['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Apocalyptic', 'Post Apocalyptic', 'Fantasy', 'Cultural', 'Canada', 'Speculative Fiction', 'Science Fiction Fantasy', 'Audiobook', 'Novels']",4.01,228676,13832,389,2004
30254,329,Snow Flower and the Secret Fan,Lisa See,"['Historical', 'Historical Fiction', 'Fiction', 'Cultural', 'China', 'Historical', 'Cultural', 'Asia', 'Book Club', 'Adult', 'Adult Fiction', 'Literature', 'Asian Literature', 'Novels']",4.07,345712,18003,269,2006
28020,295,Jonathan Strange & Mr Norrell,Susanna Clarke,"['Fantasy', 'Fiction', 'Historical', 'Historical Fiction', 'Historical', 'Fantasy', 'Magic', 'Science Fiction Fantasy', 'Science Fiction', 'Alternate History', 'Audiobook', 'Adult', 'Magical Realism']",3.82,208290,14499,1006,2006
26716,294,The Memory Keeper's Daughter,Kim Edwards,"['Fiction', 'Contemporary', 'Adult Fiction', 'Adult', 'Historical', 'Historical Fiction', 'Book Club', 'Drama', 'Womens Fiction', 'Chick Lit', 'Novels', 'Family']",3.68,567576,19488,401,2006
25249,274,All the Light We Cannot See,Anthony Doerr,"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'War', 'War', 'World War II', 'Audiobook', 'Adult', 'Cultural', 'France', 'Book Club', 'Adult Fiction']",4.33,1088930,77970,531,2014
